model_name,price
"Dell G15 Series Dell G15 5530 (Intel Core i7 13th Gen 15.6 Inch)","₹60399"
"Dell Inspiron 5000 Series 14 5440 (Intel Core i5 13th Gen 14 Inch)","₹39999"
"Dell Latitude 5000 Series 5520 (Intel Core i5 11th Gen 15.6 Inch)","₹28599"
"Dell Vostro 3000 Series 3525 (AMD Ryzen5 5000U Series 15.6 Inch)","₹26799"
"Dell Inspiron Series 13-5368 (Intel Core i5 6th Gen 13.3 Inch)","₹14999"
"Dell Vostro 3000 Series 3425 (AMD Ryzen5 5000U Series 14 Inch)","₹27499"
"Dell Inspiron 3000 Series Inspiron 3501 (Intel Core i5 11th Gen 16 Inch)","₹31099"
"Dell Inspiron 3000 Series 3530 (Intel Core i5 13th Gen 15.6 Inch)","₹43199"
"Dell Latitude 7000 Series 7480 (Intel Core i5 7th Gen 14 Inch)","₹16099"
"Dell G15 Series G15 5520 (Intel Core i7 12th Gen 15.6 Inch)","₹45399"
"Dell Inspiron 3000 Series inspiron 15 3515 (AMD Ryzen 3 3rd Gen 15.6 Inch)","₹22099"
"Dell Inspiron 3000 Series 3530 (Intel Core i7 13th Gen 15.6 Inch)","₹48899"
"Dell Latitude 3000 Series Latitude 3400 (Intel Core i5 8th Gen 14 Inch)","₹18199"
"Dell Latitude 5000 Series latitude 5400 (Intel Core i7 8th Gen 14 Inch)","₹24699"
"Dell Latitude 3000 Series 3420 (Intel Core i5 11th Gen 14 Inch)","₹25999"
"Dell Vostro 3000 Series 3420 (Intel Core i3 11th Gen 14 Inch)","₹23099"
"Dell Latitude 7000 Series Touch Screen 7320 (Intel Core i7 11th Gen 13 Inch)","₹39399"
"Dell Latitude 7000 Series 7490 (Intel Core i7 8th Gen 14 Inch)","₹24999"
"Dell Vostro 3000 Series 3400 (Intel Core i5 11th Gen 14 Inch)","₹27299"
"Dell Vostro 3000 Series 3420 (Intel Core i3 12th Gen 14 Inch)","₹25999"
"Dell Latitude 3000 Series Latitude 3490 (Intel Core i3 7th Gen 14 Inch)","₹14799"
"Dell Inspiron 3000 Series 15 3520 (Intel Core i5 12th Gen 15.6 Inch)","₹40899"
"Dell Latitude 3000 Series 3440 (Intel Core i3 12th Gen 14 Inch)","₹27999"
"Dell Inspiron 5000 Series 5518 (Intel Core i5 11th Gen 15.6 Inch)","₹30999"
"Dell Latitude 5000 Series 5320 (Intel Core i5 11th Gen 13.3 Inch)","₹28999"
"Dell Latitude 5000 Series TOUCH SREEN 5320 (Intel Core i5 11th Gen 13.3 Inch)","₹28999"
"Dell Vostro 3000 Series 3500 (Intel Core i3 11th Gen 14 Inch)","₹22999"
